entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2013-03-22 00:00:00+05:30,2013-04-16 00:00:00+05:30,-1,5658.667844726562,5659.799578295508,75,1.0,5773.863513702365,5658.667844726562,-84.88001767091191,158.90054095329708,-243.780558624209,-0.0002569722301550056,-0.028216403248680726,stop,15,-95.93225292968782,181.46764941406218,SHORT,-51578.78871432768,948421.2112856723
2013-05-03 00:00:00+05:30,2013-05-13 00:00:00+05:30,1,5994.6987,5993.49976026,75,1.0,5874.4787596399465,5994.6987,-89.92048050001813,165.51003127021409,-255.43051177023221,-0.0002693218042055098,-0.02832924510473377,stop,6,-66.24850468749992,110.60110468750008,LONG,-51834.21922609791,948165.7807739021
2013-05-16 00:00:00+05:30,2013-05-23 00:00:00+05:30,1,6129.47565,6005.802929462653,75,1.0,6007.004330328718,6007.004330328718,-9275.454040301043,166.13494784030854,-9441.588988141351,-0.009957740702722932,-1.0278966007152226,stop,5,-173.77545468750031,99.97454531249969,LONG,-61275.80821423927,938724.1917857607
2013-06-21 00:00:00+05:30,2013-06-28 00:00:00+05:30,-1,5638.771922363281,5771.1791322122845,75,1.0,5770.025127186847,5770.025127186847,-9930.540738675245,158.91733376420552,-10089.458072439451,-0.010748053752877084,-1.0249357934791714,stop,5,-214.1782729492188,72.52192236328119,SHORT,-71365.26628667871,928634.7337133213
2013-08-08 00:00:00+05:30,2013-08-13 00:00:00+05:30,-1,5508.947794726562,5645.949917099628,75,1.0,5644.820952909046,5644.820952909046,-10275.159177979913,156.36905638573597,-10431.528234365649,-0.01123318766319801,-1.0236535676757792,stop,2,-195.80220527343772,0.0,SHORT,-81796.79452104436,918203.2054789556
2013-08-20 00:00:00+05:30,2013-08-26 00:00:00+05:30,-1,5352.379505273438,5509.520999821876,75,1.0,5508.419315958685,5508.419315958685,-11785.612091132884,153.34136504186148,-11938.953456174744,-0.013002517726941627,-1.02016303008358,stop,4,-176.32069003906236,98.32970058593764,SHORT,-93735.7479772191,906264.252022781
2013-09-20 00:00:00+05:30,2013-09-23 00:00:00+05:30,1,6105.770714648437,5904.972469601944,75,1.0,5906.153700342013,5906.153700342013,-15059.868378486999,164.3852422400545,-15224.253620727053,-0.016798912223169496,-1.0168975274059469,stop,1,-234.3708123046872,25.179480664062794,LONG,-108960.00159794616,891039.9984020538
2013-11-01 00:00:00+05:30,2013-11-08 00:00:00+05:30,1,6291.00795,6151.239053653074,75,1.0,6152.469547562586,6152.469547562586,-10482.667226019475,169.05593886456242,-10651.723164884037,-0.011954259274540201,-1.0251523984185325,stop,4,-170.05775468750016,41.592147656249836,LONG,-119611.7247628302,880388.2752371698
2014-03-07 00:00:00+05:30,2014-05-08 00:00:00+05:30,1,6415.232985351562,6668.565922363281,75,1.0,6318.64752257391,6415.232985351562,18999.97027587892,178.04120483446613,18821.929071044455,0.02137912282620299,2.5983108333634073,supertrend_flip,38,-1.6831806640620925,454.6171123046879,LONG,-100789.79569178575,899210.2043082142
2014-05-13 00:00:00+05:30,2014-07-11 00:00:00+05:30,1,7081.416,7582.583277636719,75,1.0,6957.179040570375,7081.416,37587.5458227539,195.30995319464733,37392.23586955925,0.04158342030640774,4.013001825031553,supertrend_flip,43,-14.266097656250167,727.4340976562498,LONG,-63397.5598222265,936602.4401777735
