datetime,equity,exposure
2026-05-25 09:15:00+05:30,1000000.0,0
2026-05-25 09:30:00+05:30,1000000.0,0
2026-05-25 09:45:00+05:30,1000000.0,0
2026-05-25 10:00:00+05:30,1000000.0,0
2026-05-25 10:15:00+05:30,1000000.0,0
2026-05-25 10:30:00+05:30,1000000.0,0
2026-05-25 10:45:00+05:30,1000000.0,0
2026-05-25 11:00:00+05:30,1000000.0,0
2026-05-25 11:15:00+05:30,1000000.0,0
2026-05-25 11:30:00+05:30,1000000.0,0
2026-05-25 11:45:00+05:30,1000000.0,0
2026-05-25 12:00:00+05:30,1000000.0,0
2026-05-25 12:15:00+05:30,1000000.0,0
2026-05-25 12:30:00+05:30,1000000.0,0
2026-05-25 12:45:00+05:30,1000000.0,0
2026-05-25 13:00:00+05:30,1000000.0,0
2026-05-25 13:15:00+05:30,1000000.0,0
2026-05-25 13:30:00+05:30,1000000.0,0
2026-05-25 13:45:00+05:30,1000000.0,0
2026-05-25 14:00:00+05:30,1000000.0,0
2026-05-25 14:15:00+05:30,1000000.0,0
2026-05-25 14:30:00+05:30,1000000.0,0
2026-05-25 14:45:00+05:30,1000000.0,0
2026-05-25 15:00:00+05:30,1000000.0,0
2026-05-25 15:15:00+05:30,1000000.0,0
2026-05-26 09:15:00+05:30,1000000.0,0
2026-05-26 09:30:00+05:30,1000000.0,0
2026-05-26 09:45:00+05:30,1000000.0,0
2026-05-26 10:00:00+05:30,1000000.0,0
2026-05-26 10:15:00+05:30,1000000.0,0
2026-05-26 10:30:00+05:30,1000000.0,0
2026-05-26 10:45:00+05:30,1000000.0,0
2026-05-26 11:00:00+05:30,1000000.0,0
2026-05-26 11:15:00+05:30,1000000.0,0
2026-05-26 11:30:00+05:30,1000000.0,0
2026-05-26 11:45:00+05:30,1000000.0,0
2026-05-26 12:00:00+05:30,1000000.0,0
2026-05-26 12:15:00+05:30,1000000.0,0
2026-05-26 12:30:00+05:30,1000000.0,0
2026-05-26 12:45:00+05:30,1000000.0,0
2026-05-26 13:00:00+05:30,1000000.0,0
2026-05-26 13:15:00+05:30,1000000.0,0
2026-05-26 13:30:00+05:30,1000000.0,0
2026-05-26 13:45:00+05:30,1000000.0,0
2026-05-26 14:00:00+05:30,1000000.0,0
2026-05-26 14:15:00+05:30,1000000.0,0
2026-05-26 14:30:00+05:30,1000000.0,0
2026-05-26 14:45:00+05:30,1000000.0,0
2026-05-26 15:00:00+05:30,1000000.0,0
2026-05-26 15:15:00+05:30,1000000.0,0
2026-05-27 09:15:00+05:30,1000000.0,0
2026-05-27 09:30:00+05:30,1000000.0,0
2026-05-27 09:45:00+05:30,1000000.0,0
2026-05-27 10:00:00+05:30,1000000.0,0
2026-05-27 10:15:00+05:30,1000000.0,0
2026-05-27 10:30:00+05:30,1000000.0,0
2026-05-27 10:45:00+05:30,1000000.0,0
2026-05-27 11:00:00+05:30,1000000.0,0
2026-05-27 11:15:00+05:30,1000000.0,0
2026-05-27 11:30:00+05:30,1000000.0,0
2026-05-27 11:45:00+05:30,1000000.0,0
2026-05-27 12:00:00+05:30,1000000.0,0
2026-05-27 12:15:00+05:30,1000000.0,0
