datetime,equity,exposure
2011-08-16 00:00:00+05:30,1000000.0,0
2011-08-17 00:00:00+05:30,1000000.0,0
2011-08-18 00:00:00+05:30,1000000.0,0
2011-08-19 00:00:00+05:30,1000000.0,0
2011-08-22 00:00:00+05:30,1000000.0,0
2011-08-23 00:00:00+05:30,1000000.0,0
2011-08-24 00:00:00+05:30,1000000.0,0
2011-08-25 00:00:00+05:30,1000000.0,0
2011-08-26 00:00:00+05:30,1000000.0,0
2011-08-29 00:00:00+05:30,1000000.0,0
2011-08-30 00:00:00+05:30,1000000.0,0
2011-09-02 00:00:00+05:30,1000000.0,0
2011-09-05 00:00:00+05:30,1000000.0,0
2011-09-06 00:00:00+05:30,1000000.0,0
2011-09-07 00:00:00+05:30,1000000.0,0
2011-09-08 00:00:00+05:30,1000000.0,0
2011-09-09 00:00:00+05:30,1000000.0,0
2011-09-12 00:00:00+05:30,1000000.0,0
2011-09-13 00:00:00+05:30,1000000.0,0
2011-09-14 00:00:00+05:30,1000000.0,0
2011-09-15 00:00:00+05:30,1000000.0,0
2011-09-16 00:00:00+05:30,1000000.0,0
2011-09-19 00:00:00+05:30,1000000.0,0
2011-09-20 00:00:00+05:30,1000000.0,0
2011-09-21 00:00:00+05:30,1000000.0,0
2011-09-22 00:00:00+05:30,1000000.0,0
2011-09-23 00:00:00+05:30,1000000.0,0
2011-09-26 00:00:00+05:30,1000000.0,0
2011-09-27 00:00:00+05:30,1000000.0,0
2011-09-28 00:00:00+05:30,1000000.0,0
2011-09-29 00:00:00+05:30,1000000.0,0
2011-09-30 00:00:00+05:30,1000000.0,0
2011-10-03 00:00:00+05:30,1000000.0,0
2011-10-04 00:00:00+05:30,1000000.0,0
2011-10-05 00:00:00+05:30,1000000.0,0
2011-10-07 00:00:00+05:30,1000000.0,0
2011-10-10 00:00:00+05:30,1000000.0,0
2011-10-11 00:00:00+05:30,1000000.0,0
2011-10-12 00:00:00+05:30,1000000.0,0
2011-10-13 00:00:00+05:30,1000000.0,0
2011-10-14 00:00:00+05:30,1000000.0,0
2011-10-17 00:00:00+05:30,1000000.0,0
2011-10-18 00:00:00+05:30,1000000.0,0
2011-10-19 00:00:00+05:30,1000000.0,0
2011-10-20 00:00:00+05:30,1000000.0,0
2011-10-21 00:00:00+05:30,1000000.0,0
2011-10-24 00:00:00+05:30,1000000.0,0
2011-10-25 00:00:00+05:30,1000000.0,0
2011-10-28 00:00:00+05:30,1000000.0,0
2011-10-31 00:00:00+05:30,1000000.0,0
2011-11-01 00:00:00+05:30,1000000.0,0
2011-11-02 00:00:00+05:30,1000000.0,0
2011-11-03 00:00:00+05:30,1000000.0,0
2011-11-04 00:00:00+05:30,1000000.0,0
2011-11-08 00:00:00+05:30,1000000.0,0
2011-11-09 00:00:00+05:30,1000000.0,0
2011-11-11 00:00:00+05:30,1000000.0,0
2011-11-14 00:00:00+05:30,1000000.0,0
2011-11-15 00:00:00+05:30,1000000.0,0
2011-11-16 00:00:00+05:30,1000000.0,0
2011-11-17 00:00:00+05:30,1000000.0,0
2011-11-18 00:00:00+05:30,1000000.0,0
2011-11-21 00:00:00+05:30,1000000.0,0
2011-11-22 00:00:00+05:30,1000000.0,0
2011-11-23 00:00:00+05:30,1000000.0,0
2011-11-25 00:00:00+05:30,1001420.5641556755,-1
2011-11-28 00:00:00+05:30,990826.8141556755,-1
2011-11-29 00:00:00+05:30,994291.7921830192,-1
2011-11-30 00:00:00+05:30,992270.5641556755,-1
2011-12-01 00:00:00+05:30,988037.7662278651,0
2011-12-02 00:00:00+05:30,988037.7662278651,0
2011-12-05 00:00:00+05:30,988037.7662278651,0
2011-12-07 00:00:00+05:30,988037.7662278651,0
2011-12-08 00:00:00+05:30,988037.7662278651,0
2011-12-09 00:00:00+05:30,988037.7662278651,0
2011-12-12 00:00:00+05:30,988037.7662278651,0
2011-12-13 00:00:00+05:30,988037.7662278651,0
