entry_time,exit_time,direction,entry_price,exit_price,quantity,lots,initial_stop,final_stop,gross_pnl,costs,net_pnl,return_pct,r_multiple,exit_reason,bars_held,mae,mfe,side,cum_pnl,equity_after
2026-05-29 12:15:00+05:30,2026-05-29 15:15:00+05:30,-1,23831.18202890625,23614.02264140625,150,2.0,23888.3920834096,23831.18202890625,32573.90812499998,986.6572912390155,31587.250833760965,0.03158725083376097,3.6808507534762507,square_off,12,-27.86875234375111,344.5824195312489,SHORT,31587.250833760965,1031587.250833761
2026-06-01 13:15:00+05:30,2026-06-01 15:15:00+05:30,-1,23455.257228906252,23383.87505859375,75,1.0,23531.713461063562,23455.257228906252,5353.662773437736,509.962987717705,4843.699785720031,0.004695385467206194,0.8447011052901513,square_off,8,-45.14316171874816,97.10683828125184,SHORT,36430.950619480995,1036430.950619481
2026-06-03 11:15:00+05:30,2026-06-03 12:30:00+05:30,-1,23198.958889453126,23294.123688489868,75,1.0,23289.4657953308,23289.4657953308,-7137.359927755642,505.42344076363923,-7642.783368519282,-0.0073741365635126436,-1.1259226824597441,stop,5,-148.59189179687382,46.808498828126176,SHORT,28788.167250961713,1028788.1672509618
2026-06-10 11:30:00+05:30,2026-06-10 12:45:00+05:30,1,23401.579770703123,23335.092989485926,150,2.0,23339.76094167426,23339.76094167426,-9973.017182579679,968.8422857342155,-10941.859468313894,-0.010635677797064657,-1.1799920984381722,stop,5,-68.38055195312336,8.221010546876641,LONG,17846.30778264782,1017846.3077826478
2026-06-12 14:15:00+05:30,2026-06-12 15:15:00+05:30,1,23532.90485859375,23627.02365,150,2.0,23465.932319005224,23532.90485859375,14117.818710937536,979.3651485079672,13138.453562429568,0.012908091783573253,1.3078448413983141,square_off,4,-8.30524921874894,112.29436015625106,LONG,30984.761345077386,1030984.7613450774
2026-06-16 14:15:00+05:30,2026-06-16 15:15:00+05:30,1,23999.148479296873,23989.15042890625,150,2.0,23949.96348517946,23949.96348517946,-1499.7075585933999,994.3108572986389,-2494.018415892039,-0.0024190642863025544,-0.3380459779986921,square_off,4,-36.44926054687312,3.10152070312688,LONG,28490.742929185348,1028490.7429291854
2026-06-17 09:45:00+05:30,2026-06-17 13:00:00+05:30,1,24068.61354140625,24011.278238773742,150,2.0,24016.081455064756,24016.081455064756,-8600.295394875866,995.4797652526122,-9595.775160128478,-0.00932995773282247,-1.217766870803456,stop,13,-58.86354140624826,39.23606796875174,LONG,18894.96776905687,1018894.9677690569
2026-06-19 15:00:00+05:30,2026-06-19 15:00:00+05:30,-1,23906.817289453127,23967.258598382046,150,2.0,23962.466105161016,23962.466105161016,-9066.196339337876,991.3752136870269,-10057.571553024902,-0.009871058225998184,-1.2048859650873092,stop,0,-135.58310117187284,2.3680707031271595,SHORT,8837.39621603197,1008837.396216032
2026-06-22 10:15:00+05:30,2026-06-22 15:15:00+05:30,1,24154.380691406248,24082.45641114987,150,2.0,24087.273865923053,24087.273865923053,-10788.642038456783,998.3807734676043,-11787.022811924387,-0.011683768718462852,-1.1709710825044728,stop,20,-74.28108203124793,13.619308593752066,LONG,-2949.6265958924178,997050.3734041076
2026-06-23 12:30:00+05:30,2026-06-23 15:15:00+05:30,-1,23944.860460546875,23800.00905,150,2.0,23997.77839896191,23944.860460546875,21727.711582031225,991.5962477980188,20736.115334233207,0.020797460075599208,2.6123611961348474,square_off,11,-14.088758203124598,159.6104605468754,SHORT,17786.48873834079,1017786.4887383408
2026-06-25 10:00:00+05:30,2026-06-25 12:30:00+05:30,1,24181.485720703124,24176.649423558985,150,2.0,24117.41555825377,24181.485720703124,-725.4445716207556,1001.6807754146583,-1727.125347035414,-0.001696942694902914,-0.17971187429621555,stop,10,-21.18493945312366,79.61388867187634,LONG,16059.363391305378,1016059.3633913053
