scenario,gross_pnl,charges,net_pnl,return_pct,trades,profit_factor
"Frictionless (upper bound, not achievable)",57891.62121629069,0.0,57891.62121629086,5.7891621216290865,32,1.5456718984540618
"Statutory charges only, zero slippage",63152.63714844368,30078.80164392652,33073.83550451766,3.307383550451766,32,1.2722346615327536
Half the configured slippage,47679.719596546594,30077.5445845367,17602.175012009917,1.7602175012009917,32,1.1341084006890567
As configured,31728.498801841757,30076.307228380243,1652.1915734611684,0.16521915734611684,32,1.011650825873175
Double the configured slippage,998.2569902936957,29597.015120603253,-28598.75813030952,-2.859875813030952,32,0.824036275207761
Triple the configured slippage,-38163.96924744551,29593.118928905413,-67757.08817635092,-6.775708817635093,32,0.6492488713869949
