datetime,open,high,low,close,volume
2026-05-25 09:15:00+0530,54605.6484375,54904.8984375,54605.6484375,54879.1015625,0.0
2026-05-25 09:20:00+0530,54877.94921875,54937.8984375,54834.3515625,54928.44921875,0.0
2026-05-25 09:25:00+0530,54928.3515625,54973.69921875,54903.1484375,54938.5,0.0
2026-05-25 09:30:00+0530,54939.3515625,54947.75,54882.5,54909.3984375,0.0
2026-05-25 09:35:00+0530,54910.80078125,54912.19921875,54863.25,54878.8515625,0.0
2026-05-25 09:40:00+0530,54882.30078125,54918.55078125,54864.3984375,54913.6015625,0.0
2026-05-25 09:45:00+0530,54918.55078125,54919.5,54847.0,54861.8515625,0.0
2026-05-25 09:50:00+0530,54856.5,54875.1015625,54825.75,54863.69921875,0.0
2026-05-25 09:55:00+0530,54863.19921875,54873.8984375,54842.8984375,54867.6015625,0.0
2026-05-25 10:00:00+0530,54867.8984375,54957.69921875,54858.75,54939.75,0.0
2026-05-25 10:05:00+0530,54940.30078125,54961.69921875,54906.55078125,54939.8515625,0.0
2026-05-25 10:10:00+0530,54942.94921875,54962.75,54927.30078125,54961.1484375,0.0
2026-05-25 10:15:00+0530,54960.1015625,54992.8984375,54949.80078125,54986.80078125,0.0
2026-05-25 10:20:00+0530,54986.8984375,54991.1484375,54944.6484375,54948.25,0.0
2026-05-25 10:25:00+0530,54947.1484375,54967.6015625,54936.3515625,54951.1484375,0.0
2026-05-25 10:30:00+0530,54952.19921875,55042.05078125,54952.1484375,55041.75,0.0
2026-05-25 10:35:00+0530,55043.05078125,55074.6015625,55038.55078125,55067.05078125,0.0
2026-05-25 10:40:00+0530,55065.5,55080.1015625,55053.80078125,55057.3515625,0.0
2026-05-25 10:45:00+0530,55058.5,55083.8515625,55051.30078125,55060.75,0.0
2026-05-25 10:50:00+0530,55064.25,55071.75,55043.75,55064.25,0.0
2026-05-25 10:55:00+0530,55066.1015625,55066.1015625,55016.8515625,55044.05078125,0.0
2026-05-25 11:00:00+0530,55048.44921875,55075.3515625,55019.05078125,55075.3515625,0.0
2026-05-25 11:05:00+0530,55073.1015625,55080.94921875,55040.3984375,55065.25,0.0
2026-05-25 11:10:00+0530,55064.8984375,55092.6484375,55048.80078125,55084.6484375,0.0
2026-05-25 11:15:00+0530,55084.44921875,55088.0,55062.8515625,55081.25,0.0
2026-05-25 11:20:00+0530,55081.94921875,55084.8515625,55059.3984375,55072.55078125,0.0
2026-05-25 11:25:00+0530,55070.8515625,55084.19921875,55048.8984375,55082.75,0.0
2026-05-25 11:30:00+0530,55080.75,55083.75,55055.8984375,55063.75,0.0
2026-05-25 11:35:00+0530,55062.0,55100.0,55047.30078125,55099.1484375,0.0
2026-05-25 11:40:00+0530,55098.19921875,55113.1015625,55080.55078125,55093.1015625,0.0
2026-05-25 11:45:00+0530,55096.1015625,55115.1015625,55086.6015625,55102.6484375,0.0
2026-05-25 11:50:00+0530,55104.1484375,55121.6015625,55093.6484375,55108.5,0.0
2026-05-25 11:55:00+0530,55110.5,55116.1015625,55092.1015625,55103.8515625,0.0
2026-05-25 12:00:00+0530,55102.1015625,55102.1015625,55031.94921875,55036.8515625,0.0
2026-05-25 12:05:00+0530,55039.44921875,55039.44921875,54998.30078125,55010.3984375,0.0
2026-05-25 12:10:00+0530,55009.75,55031.5,55006.1484375,55017.55078125,0.0
2026-05-25 12:15:00+0530,55020.1015625,55050.5,55011.69921875,55046.3984375,0.0
2026-05-25 12:20:00+0530,55045.1484375,55045.19921875,55009.25,55019.3515625,0.0
2026-05-25 12:25:00+0530,55019.8515625,55021.6484375,54978.69921875,54982.0,0.0
2026-05-25 12:30:00+0530,54980.44921875,54987.8984375,54968.69921875,54984.30078125,0.0
2026-05-25 12:35:00+0530,54985.0,55002.69921875,54967.19921875,54969.6015625,0.0
2026-05-25 12:40:00+0530,54967.8984375,54992.19921875,54962.69921875,54974.30078125,0.0
2026-05-25 12:45:00+0530,54975.1484375,54988.75,54920.1015625,54923.19921875,0.0
2026-05-25 12:50:00+0530,54925.8984375,54949.80078125,54908.6484375,54947.75,0.0
2026-05-25 12:55:00+0530,54944.19921875,54964.6015625,54922.1015625,54957.1484375,0.0
2026-05-25 13:00:00+0530,54958.55078125,55034.80078125,54949.30078125,55020.80078125,0.0
2026-05-25 13:05:00+0530,55019.55078125,55029.6015625,55009.44921875,55021.6484375,0.0
2026-05-25 13:10:00+0530,55023.55078125,55038.44921875,55013.8984375,55020.3515625,0.0
