datetime,open,high,low,close,volume
2026-05-25 09:15:00+0530,23928.25,23988.05078125,23928.25,23981.599609375,0.0
2026-05-25 09:30:00+0530,23981.94921875,23984.30078125,23927.75,23947.5,0.0
2026-05-25 09:45:00+0530,23951.44921875,23951.44921875,23924.400390625,23937.150390625,0.0
2026-05-25 10:00:00+0530,23938.75,23959.849609375,23933.44921875,23952.05078125,0.0
2026-05-25 10:15:00+0530,23953.849609375,23980.94921875,23952.599609375,23958.55078125,0.0
2026-05-25 10:30:00+0530,23960.900390625,23992.349609375,23959.19921875,23987.400390625,0.0
2026-05-25 10:45:00+0530,23989.0,23995.55078125,23972.650390625,23978.150390625,0.0
2026-05-25 11:00:00+0530,23979.55078125,23989.900390625,23970.650390625,23987.599609375,0.0
2026-05-25 11:15:00+0530,23989.0,23989.0,23971.099609375,23977.150390625,0.0
2026-05-25 11:30:00+0530,23978.44921875,23990.44921875,23959.900390625,23980.94921875,0.0
2026-05-25 11:45:00+0530,23982.150390625,23992.69921875,23978.150390625,23986.599609375,0.0
2026-05-25 12:00:00+0530,23988.150390625,23988.150390625,23960.099609375,23963.900390625,0.0
2026-05-25 12:15:00+0530,23965.75,23968.69921875,23955.900390625,23956.5,0.0
2026-05-25 12:30:00+0530,23957.849609375,23967.650390625,23952.599609375,23958.55078125,0.0
2026-05-25 12:45:00+0530,23960.05078125,23960.599609375,23935.599609375,23954.400390625,0.0
2026-05-25 13:00:00+0530,23955.55078125,23983.599609375,23947.30078125,23977.19921875,0.0
2026-05-25 13:15:00+0530,23979.099609375,23986.25,23975.150390625,23984.099609375,0.0
2026-05-25 13:30:00+0530,23986.55078125,23991.0,23963.80078125,23963.94921875,0.0
2026-05-25 13:45:00+0530,23965.650390625,23977.400390625,23962.19921875,23965.349609375,0.0
2026-05-25 14:00:00+0530,23966.94921875,23978.55078125,23956.69921875,23958.55078125,0.0
2026-05-25 14:15:00+0530,23959.94921875,23982.849609375,23955.25,23978.150390625,0.0
2026-05-25 14:30:00+0530,23979.0,24009.19921875,23976.44921875,24007.80078125,0.0
2026-05-25 14:45:00+0530,24009.55078125,24036.44921875,24007.400390625,24035.0,0.0
