datetime,open,high,low,close,volume
2023-09-04 09:15:00+0530,44647.6484375,44647.6484375,44404.3984375,44423.5,0.0
2023-09-04 10:15:00+0530,44422.94921875,44479.1015625,44311.6484375,44453.75,0.0
2023-09-04 11:15:00+0530,44454.05078125,44513.8515625,44415.3515625,44449.94921875,0.0
2023-09-04 12:15:00+0530,44448.80078125,44556.1484375,44448.1484375,44536.69921875,0.0
2023-09-04 13:15:00+0530,44535.1015625,44567.1015625,44462.19921875,44508.94921875,0.0
2023-09-04 14:15:00+0530,44509.0,44594.6015625,44471.55078125,44572.19921875,0.0
2023-09-04 15:15:00+0530,44569.3984375,44605.75,44554.5,44584.25,0.0
2023-09-05 09:15:00+0530,44625.05078125,44666.5,44544.94921875,44653.69921875,0.0
2023-09-05 10:15:00+0530,44650.6484375,44655.55078125,44481.55078125,44539.0,0.0
2023-09-05 11:15:00+0530,44543.05078125,44578.0,44461.6484375,44486.6484375,0.0
2023-09-05 12:15:00+0530,44485.25,44497.8984375,44426.80078125,44495.8984375,0.0
2023-09-05 13:15:00+0530,44496.8515625,44517.69921875,44406.1015625,44482.0,0.0
2023-09-05 14:15:00+0530,44479.55078125,44548.0,44462.8515625,44538.3515625,0.0
2023-09-05 15:15:00+0530,44538.1015625,44570.75,44519.1015625,44543.8515625,0.0
2023-09-06 09:15:00+0530,44494.6484375,44560.25,44445.0,44469.3515625,0.0
2023-09-06 10:15:00+0530,44467.5,44557.80078125,44442.5,44475.8984375,0.0
2023-09-06 11:15:00+0530,44476.05078125,44483.6015625,44337.3515625,44389.25,0.0
2023-09-06 12:15:00+0530,44385.94921875,44392.55078125,44262.3984375,44285.25,0.0
2023-09-06 13:15:00+0530,44287.75,44327.1484375,44211.05078125,44299.3515625,0.0
2023-09-06 14:15:00+0530,44299.6015625,44455.0,44295.05078125,44388.94921875,0.0
2023-09-06 15:15:00+0530,44388.0,44524.05078125,44388.0,44468.55078125,0.0
2023-09-07 09:15:00+0530,44418.05078125,44504.6015625,44341.69921875,44468.19921875,0.0
2023-09-07 10:15:00+0530,44476.3515625,44672.80078125,44433.6484375,44672.80078125,0.0
2023-09-07 11:15:00+0530,44672.6015625,44688.6484375,44439.05078125,44468.6015625,0.0
2023-09-07 12:15:00+0530,44468.25,44497.8515625,44400.8515625,44454.44921875,0.0
2023-09-07 13:15:00+0530,44456.3984375,44650.75,44451.8984375,44631.0,0.0
2023-09-07 14:15:00+0530,44633.44921875,44912.55078125,44626.80078125,44852.5,0.0
2023-09-07 15:15:00+0530,44852.80078125,44884.44921875,44827.19921875,44855.55078125,0.0
